DATASET,OPTIMIZER,LOSS,MINI-BATCH SIZE,LEARNING RATE,TRAINING LOSS,TRAINING ACCURACY,TRAINING F1,VALIDATION LOSS,VALIDATION ACCURACY,VALIDATION F1,TOTAL TRAINING TIME,TEST LOSS,TEST ACCURACY,TEST F1,CONVERGED AT EPOCH
mnist,sgd,mse,4,0.08340502686000296,0.002444997617955218,0.9522222222222222,0.9523112648166109,0.020564965903759003,0.88,0.8788006548573247,158.16331958770752,0.022386984899640083,0.926,0.9256902112404302,0.008888888888888889
mnist,sgd,mse,4,0.1391279701103562,0.0034452841693653922,0.9566666666666667,0.956631578859679,0.024910032749176025,0.89,0.8892761409743843,154.3750777244568,0.024395078420639038,0.904,0.9037875583456857,0.008888888888888889
mnist,sgd,mse,4,0.23207944168063888,0.007561530047812855,0.9255555555555556,0.9252394186749188,0.025393417105078697,0.92,0.9202998231745372,152.92191576957703,0.024741539731621742,0.898,0.8975152135495655,0.008888888888888889
mnist,sgd,mse,4,0.38713184134056344,0.052780333769851494,0.5744444444444444,0.4785748998753565,0.0634094849228859,0.59,0.4808342382255426,159.3016905784607,0.062226489186286926,0.57,0.4679121674665938,100.0
mnist,sgd,mse,4,0.6457748325074419,0.10000000149011612,0.09888888888888889,0.01986856081970295,0.10008794069290161,0.09,0.016513761467889906,154.6743528842926,0.10010341554880142,0.096,0.017183561643835613,100.0
mnist,sgd,mse,4,1.0772173450159417,0.10000000149011612,0.09888888888888889,0.017816014394961763,0.10000000149011612,0.1,0.018181818181818184,156.63419675827026,0.10000000149011612,0.098,0.017493624772313296,0.008888888888888889
mnist,sgd,mse,4,1.796906831902313,0.10000000149011612,0.09777777777777778,0.017615834457939725,0.10000000149011612,0.1,0.018181818181818184,153.75596714019775,0.11692087352275848,0.097,0.017330902461257975,100.0
mnist,sgd,mse,4,2.9974212515947047,,0.09888888888888889,0.017798000224693855,,0.1,0.018181818181818184,157.9007329940796,,0.098,0.017493624772313296,0.017777777777777778
mnist,sgd,mse,4,5.0,,0.09888888888888889,0.017798000224693855,,0.1,0.018181818181818184,153.5187132358551,,0.098,0.017493624772313296,0.013333333333333334
mnist,sgd,mse,5,0.05,0.0018889023643642532,0.9722222222222222,0.9722099332684897,0.017108412459492683,0.93,0.9298437269644699,115.57957196235657,0.017182007431983948,0.924,0.9236796363175925,100.0
mnist,sgd,mse,5,0.08340502686000296,0.001889251409408159,0.96,0.9600734043303146,0.018150867894291878,0.92,0.9198084432094729,115.27879405021667,0.0170711912214756,0.926,0.9260866851851078,0.016666666666666666
mnist,sgd,mse,5,0.1391279701103562,0.002555770970669831,0.9711111111111111,0.9711250650168789,0.016739029437303543,0.9,0.8983004018610425,117.24265694618225,0.01696532592177391,0.915,0.9146011415229441,0.016666666666666666
mnist,sgd,mse,5,0.23207944168063888,0.005001989497566544,0.9422222222222222,0.9417801908040706,0.020148389041423798,0.91,0.9114535486200583,117.36484694480896,0.01867092028260231,0.914,0.9135392929807074,100.0
mnist,sgd,mse,5,0.38713184134056344,0.005780536699622334,0.9322222222222222,0.9320036019950693,0.0225666593760252,0.92,0.9182025082760377,116.28674983978271,0.021713415160775185,0.898,0.8972828100138986,0.011111111111111112
mnist,sgd,mse,5,0.6457748325074419,0.06333481557090358,0.37666666666666665,0.28236769113422067,0.06798512488603592,0.38,0.28353372118078,116.57296895980835,0.06955697387456894,0.366,0.2687749783678847,0.011111111111111112
mnist,sgd,mse,5,1.0772173450159417,0.10000000149011612,0.09888888888888889,0.017816014394961763,0.10000000149011612,0.1,0.018181818181818184,114.95086669921875,0.10028295964002609,0.098,0.01750957155879672,0.027777777777777776
mnist,sgd,mse,5,1.796906831902313,0.10000000149011612,0.09888888888888889,0.017798000224693855,0.10000000149011612,0.1,0.018181818181818184,116.71916437149048,0.24766874313354492,0.098,0.017557586837294335,0.011111111111111112
mnist,sgd,mse,5,2.9974212515947047,0.10000000149011612,0.09888888888888889,0.01796145124716553,1.103060007095337,0.1,0.01834862385321101,114.51865911483765,32651.19921875,0.098,0.017638200183654727,0.011111111111111112
mnist,sgd,mse,5,5.0,,0.09888888888888889,0.017798000224693855,,0.1,0.018181818181818184,113.33162569999695,,0.098,0.017493624772313296,0.011111111111111112
mnist,sgd,mse,6,0.05,0.0020000043723350427,0.9722222222222222,0.97220205033376,0.01796213909983635,0.94,0.9397478544846966,92.19319748878479,0.020606087520718575,0.914,0.9132715685062495,0.04666666666666667
mnist,sgd,mse,6,0.08340502686000296,0.0016667852905932709,0.9755555555555555,0.9755426798956877,0.01623508892953396,0.9,0.8997434763379036,92.3803641796112,0.016598893329501152,0.928,0.9279118545612446,0.013333333333333334
mnist,sgd,mse,6,0.1391279701103562,0.0018894390847944702,0.9777777777777777,0.9778030498150394,0.014070705510675907,0.96,0.9599498746867168,91.55805230140686,0.01666007563471794,0.927,0.926704946334703,0.013333333333333334
mnist,sgd,mse,6,0.23207944168063888,0.002112388201707418,0.9711111111111111,0.9710140470588652,0.012680397368967533,0.93,0.9300721500721499,89.4469702243805,0.012901064939796925,0.943,0.9430007049483918,4.413333333333333
