DATASET,OPTIMIZER,LOSS,MINI-BATCH SIZE,LEARNING RATE,TRAINING LOSS,TRAINING ACCURACY,TRAINING F1,VALIDATION LOSS,VALIDATION ACCURACY,VALIDATION F1,TOTAL TRAINING TIME,TEST LOSS,TEST ACCURACY,TEST F1,CONVERGED AT EPOCH
circle,sgd,mse,4,0.23207944168063888,0.016331892971626384,0.9744444444444444,0.9744329763513333,0.006869295611977577,0.99,0.9899969972975677,87.03740930557251,0.014761246740818024,0.981,0.9809882953244404,0.008888888888888889
circle,sgd,mse,4,0.38713184134056344,0.017139921625301518,0.9633333333333334,0.9632732663941718,0.008944639004766941,0.98,0.9799839743589743,110.87055134773254,0.017325643450021744,0.977,0.976977248742472,0.008888888888888889
circle,sgd,mse,4,0.6457748325074419,0.02051811312720722,0.9655555555555555,0.9655469142103784,0.002883689710870385,1.0,1.0,100.11099743843079,0.012563236989080906,0.981,0.9809922563990103,0.008888888888888889
circle,sgd,mse,4,1.0772173450159417,0.02415540741915474,0.9588888888888889,0.9588052091209585,0.011285709217190742,0.99,0.9899969972975677,103.22560048103333,0.02026038058102131,0.974,0.9739647526912772,0.008888888888888889
circle,sgd,mse,4,1.796906831902313,0.020597895681120238,0.9522222222222222,0.9521894301740981,0.012354467064142227,0.98,0.9799839743589743,100.03836107254028,0.02344513311982155,0.968,0.9679784579999118,0.008888888888888889
circle,sgd,mse,4,2.9974212515947047,0.026698265348849854,0.9477777777777778,0.947610426894251,0.02768833190202713,0.96,0.96,97.96052384376526,0.04586369916796684,0.94,0.9398409069908521,0.008888888888888889
circle,sgd,mse,4,5.0,0.02993629034147878,0.9433333333333334,0.9433191308280788,0.015814214944839478,0.98,0.98,101.21785306930542,0.048836980015039444,0.945,0.9449872943774246,0.008888888888888889
circle,sgd,mse,5,0.05,0.031710367809137094,0.9888888888888889,0.9888888888888889,0.02395528368651867,0.99,0.9900010001000099,79.2917754650116,0.032376646995544434,0.98,0.9800017608522524,0.022222222222222223
circle,sgd,mse,5,0.08340502686000296,0.02345862221392786,0.9877777777777778,0.987777430500221,0.017183491960167885,0.99,0.9900010001000099,84.82710242271423,0.022471822798252106,0.989,0.9889990421944855,0.022222222222222223
circle,sgd,mse,5,0.1391279701103562,0.019437846002458098,0.9844444444444445,0.9844412149811944,0.012114737182855606,0.99,0.9900010001000099,82.97131443023682,0.017655475065112114,0.987,0.9869947017466912,0.022222222222222223
circle,sgd,mse,5,0.23207944168063888,0.01647334059004191,0.9788888888888889,0.9788743993792526,0.010230754502117634,0.99,0.9899969972975677,85.59215712547302,0.015903150662779808,0.982,0.9819878826249504,0.07777777777777778
circle,sgd,mse,5,0.38713184134056344,0.01448491060563282,0.9611111111111111,0.9610474037513942,0.008981331251561642,0.99,0.9899969972975677,84.51339912414551,0.01872389391064644,0.972,0.9719663157894736,0.022222222222222223
circle,sgd,mse,5,0.6457748325074419,0.022327005682218203,0.9677777777777777,0.9677249916797266,0.003219643607735634,1.0,1.0,81.5032742023468,0.014430731534957886,0.98,0.9799815609830401,0.022222222222222223
circle,sgd,mse,5,1.0772173450159417,0.021851642970844312,0.9466666666666667,0.9464595253231616,0.024763578549027443,0.96,0.9599036531513448,82.06260800361633,0.03708015754818916,0.953,0.9528378790574973,0.022222222222222223
